competitor_app_id,competitor_title,keyword,ranking,is_typo,volume,score
600547573,PlantNet,plant identifier free,3,False,60,100.0
6749480794,Plant Identifier: WisePlant AI,plant identifier free,34,False,60,12.67
1557446434,Plant Identifier & Care App,plant identifier free,15,False,60,69.91
1603599822,"Plant Identifier, Care: Planty",plant identifier free,4,False,60,100.0
600547573,PlantNet,picture this,5,False,57,83.84
1557446434,Plant Identifier & Care App,picture this,9,False,57,100.0
600547573,PlantNet,inaturalist,9,False,55,62.49
1557446434,Plant Identifier & Care App,inaturalist,23,False,55,35.41
6448908389,Coin Identifier - CoinScan,coin ıdentifier,4,False,54,100.0
6448908389,Coin Identifier - CoinScan,coin identifier,9,False,54,72.55
1665672552,Coin ID: Coin Value Identifier,coin identifier,5,False,54,100.0
1665672552,Coin ID: Coin Value Identifier,coin ıdentifier,8,False,54,82.49
600547573,PlantNet,plant identifier,4,False,51,79.88
6749480794,Plant Identifier: WisePlant AI,plant identifier,23,False,51,27.15
1557446434,Plant Identifier & Care App,plant identifier,25,False,51,28.04
1603599822,"Plant Identifier, Care: Planty",plant identifier,6,False,51,74.91
6448908389,Coin Identifier - CoinScan,sweat coin,26,False,50,19.42
6448908389,Coin Identifier - CoinScan,coin,16,False,49,40.72
1665672552,Coin ID: Coin Value Identifier,coin,7,False,49,79.87
600547573,PlantNet,plant,11,False,47,46.74
6749480794,Plant Identifier: WisePlant AI,plant,3,False,47,100.0
1557446434,Plant Identifier & Care App,plant,28,False,47,20.23
1603599822,"Plant Identifier, Care: Planty",plant,19,False,47,28.26
6448908389,Coin Identifier - CoinScan,coinstats,19,False,46,30.74
1665672552,Coin ID: Coin Value Identifier,coinstats,15,False,46,43.71
1665672552,Coin ID: Coin Value Identifier,stamp value stamp identifier,21,False,46,28.17
600547573,PlantNet,seek by inaturalist,7,False,45,58.25
600547573,PlantNet,plantin,14,False,45,36.43
600547573,PlantNet,plant identifier with diagnosis and care advice,15,False,45,33.96
6749480794,Plant Identifier: WisePlant AI,plantin,23,False,45,23.96
1557446434,Plant Identifier & Care App,plant identifier with diagnosis and care advice,17,False,45,45.45
1557446434,Plant Identifier & Care App,plantin,21,False,45,33.79
1603599822,"Plant Identifier, Care: Planty",plant identifier with diagnosis and care advice,21,False,45,23.29
6448908389,Coin Identifier - CoinScan,coin snap,2,False,45,94.31
1665672552,Coin ID: Coin Value Identifier,coin snap,8,False,45,68.74
6749484762,Insect Identifier - BugWise,bug identifier,3,False,45,100.0
6448908389,Coin Identifier - CoinScan,coinin,8,False,44,63.12
6448908389,Coin Identifier - CoinScan,coin identification app for collectors,13,False,44,45.14
1665672552,Coin ID: Coin Value Identifier,coin identification app for collectors,6,False,44,76.47
1665672552,Coin ID: Coin Value Identifier,coinin,6,False,44,76.47
600547573,PlantNet,free plant identification app,5,False,43,63.25
600547573,PlantNet,picture this plant identifier,7,False,43,55.67
600547573,PlantNet,tree identifier free app,7,False,43,55.67
600547573,PlantNet,planta,8,False,43,52.17
6749480794,Plant Identifier: WisePlant AI,free plant identification app,4,False,43,85.97
6749480794,Plant Identifier: WisePlant AI,tree identifier free app,4,False,43,85.97
6749480794,Plant Identifier: WisePlant AI,planta,18,False,43,33.39
1557446434,Plant Identifier & Care App,free plant identification app,19,False,43,37.52
1603599822,"Plant Identifier, Care: Planty",free plant identification app,9,False,43,51.99
1603599822,"Plant Identifier, Care: Planty",palmstreet,12,False,43,42.52
1603599822,"Plant Identifier, Care: Planty",planta,16,False,43,32.16
1603599822,"Plant Identifier, Care: Planty",tree identifier free app,19,False,43,25.86
6448908389,Coin Identifier - CoinScan,coinsnap,2,False,43,90.12
6448908389,Coin Identifier - CoinScan,coinin coin scan identifier,6,False,43,70.18
1665672552,Coin ID: Coin Value Identifier,coinin coin scan identifier,5,False,43,79.63
1665672552,Coin ID: Coin Value Identifier,coinsnap,8,False,43,65.68
600547573,PlantNet,plant identification,7,False,42,54.37
600547573,PlantNet,leaf,11,False,42,41.76
600547573,PlantNet,plants,12,False,42,39.03
600547573,PlantNet,plant care,17,False,42,27.47
6749480794,Plant Identifier: WisePlant AI,plant identification,3,False,42,89.36
6749480794,Plant Identifier: WisePlant AI,free plant care app,4,False,42,83.97
6749480794,Plant Identifier: WisePlant AI,plant care,23,False,42,22.36
6749480794,Plant Identifier: WisePlant AI,flora,30,False,42,12.62
1557446434,Plant Identifier & Care App,plant care,15,False,42,48.94
1557446434,Plant Identifier & Care App,free plant care app,26,False,42,21.31
1603599822,"Plant Identifier, Care: Planty",free plant care app,2,False,42,79.22
1603599822,"Plant Identifier, Care: Planty",plants,21,False,42,21.74
6448908389,Coin Identifier - CoinScan,coin scanner,2,False,42,88.02
1665672552,Coin ID: Coin Value Identifier,coin scanner,11,False,42,52.58
600547573,PlantNet,plantnet,1,False,41,77.23
600547573,PlantNet,plant id,6,False,41,56.59
6749480794,Plant Identifier: WisePlant AI,plant id,4,False,41,81.98
6749480794,Plant Identifier: WisePlant AI,plantnet,23,False,41,21.83
1557446434,Plant Identifier & Care App,plantnet,18,False,41,38.51
1557446434,Plant Identifier & Care App,plant id,21,False,41,30.79
1603599822,"Plant Identifier, Care: Planty",insect identifier free app,24,False,41,16.82
1603599822,"Plant Identifier, Care: Planty",plantnet,27,False,41,13.21
6448908389,Coin Identifier - CoinScan,coinsnap coin identifier,4,False,41,75.93
6448908389,Coin Identifier - CoinScan,coin scanner value identifier free,6,False,41,66.92
6448908389,Coin Identifier - CoinScan,city tele coin,7,False,41,62.76
6448908389,Coin Identifier - CoinScan,coin identifier free app,10,False,41,51.55
1665672552,Coin ID: Coin Value Identifier,coin identifier free app,6,False,41,71.26
1665672552,Coin ID: Coin Value Identifier,coinsnap coin identifier,6,False,41,71.26
1665672552,Coin ID: Coin Value Identifier,coin scanner value identifier free,7,False,41,66.83
6749484762,Insect Identifier - BugWise,insect identifier free app,3,False,41,91.11
1603599822,"Plant Identifier, Care: Planty",bug identifier free app,25,False,40,15.16
6448908389,Coin Identifier - CoinScan,free coin identifier,10,False,40,50.29
1665672552,Coin ID: Coin Value Identifier,free coin identifier,12,False,40,46.8
6749484762,Insect Identifier - BugWise,bug identifier free app,3,False,40,88.89
600547573,PlantNet,plantnet free,1,False,39,73.47
600547573,PlantNet,picture this plant identifier free,5,False,39,57.36
600547573,PlantNet,free plant identifier app,8,False,39,47.32
600547573,PlantNet,plant app,10,False,39,41.47
600547573,PlantNet,tree identifier,16,False,39,27.41
6749480794,Plant Identifier: WisePlant AI,plant app,3,False,39,82.98
6749480794,Plant Identifier: WisePlant AI,free plant identifier app,4,False,39,77.98
6749480794,Plant Identifier: WisePlant AI,tree identifier,5,False,39,73.23
1557446434,Plant Identifier & Care App,plantnet free,11,False,39,59.88
1557446434,Plant Identifier & Care App,picture this plant identifier free,15,False,39,45.44
1557446434,Plant Identifier & Care App,plant app,20,False,39,31.59
1557446434,Plant Identifier & Care App,free plant identifier app,24,False,39,23.22
1603599822,"Plant Identifier, Care: Planty",free plant identifier app,2,False,39,73.56
1603599822,"Plant Identifier, Care: Planty",plant app,18,False,39,25.24
1603599822,"Plant Identifier, Care: Planty",plantnet free,19,False,39,23.45
600547573,PlantNet,identify plants free,5,False,38,55.89
