competitor_app_id,competitor_title,keyword,ranking,is_typo,volume,score
6740799004,Home AI - Interior Design,home ai,6,False,46,91.86
6446040791,Remodel AI - Home Design,ai home design free,4,False,46,98.06
6446040791,Remodel AI - Home Design,home ai,5,False,46,92.09
6446040791,Remodel AI - Home Design,interior design,9,False,46,71.14
6446040791,Remodel AI - Home Design,home aı,11,False,46,62.26
6599855511,AI Home Design - Decor,home aı,20,False,46,74.36
6446040791,Remodel AI - Home Design,houzz,8,False,45,74.31
6503702359,AI house design - Renomo,aı home design,25,False,43,36.21
6740799004,Home AI - Interior Design,ai home design,6,False,43,85.86
6446040791,Remodel AI - Home Design,ai home design,4,False,43,91.67
6446040791,Remodel AI - Home Design,ai home desıgn,5,False,43,86.09
6446040791,Remodel AI - Home Design,aı home desıgn,7,False,43,75.77
6446040791,Remodel AI - Home Design,aı home design,12,False,43,54.39
6599855511,AI Home Design - Decor,ai home desıgn,15,False,43,100.0
6742654523,AI Home Design - Ruma,aı home design,33,False,43,41.25
6446040791,Remodel AI - Home Design,interior design ai,4,False,42,89.54
6446040791,Remodel AI - Home Design,ai room design free,5,False,41,82.08
6740799004,Home AI - Interior Design,remodel ai,2,False,39,100.0
6446040791,Remodel AI - Home Design,remodel ai,1,False,39,100.0
6446040791,Remodel AI - Home Design,remodel:ai,1,False,39,100.0
6446040791,Remodel AI - Home Design,ai remodel app free,4,False,39,83.14
6446040791,Remodel AI - Home Design,ai interior design free,5,False,38,76.08
6446040791,Remodel AI - Home Design,floor and decor,9,False,38,58.77
6446040791,Remodel AI - Home Design,home ai interior design app,5,False,37,74.07
6446040791,Remodel AI - Home Design,landscape design free,6,False,37,69.52
6446040791,Remodel AI - Home Design,remodel ai free,1,False,36,92.31
6747612920,NewHome AI,ninebot,32,False,34,71.41
6747612920,NewHome AI,ai decorator interior design free,48,False,34,14.28
6740799004,Home AI - Interior Design,ai interior design,1,False,34,92.66
6740799004,Home AI - Interior Design,ai room design,4,False,34,77.03
6446040791,Remodel AI - Home Design,renovate ai,2,False,34,82.03
6446040791,Remodel AI - Home Design,ai decorator interior design free,4,False,34,72.48
6446040791,Remodel AI - Home Design,landscape design,5,False,34,68.07
6446040791,Remodel AI - Home Design,ai interior design,9,False,34,52.58
6446040791,Remodel AI - Home Design,iscape free landscape designs,4,False,33,70.35
6446040791,Remodel AI - Home Design,iscape,7,False,33,58.15
6740799004,Home AI - Interior Design,home design ai,2,False,32,82.05
6446040791,Remodel AI - Home Design,home design ai,3,False,32,72.59
6446040791,Remodel AI - Home Design,ai design,5,False,32,64.06
6446040791,Remodel AI - Home Design,architecture design,7,False,32,56.39
6599855511,AI Home Design - Decor,aı design,33,False,32,17.85
6503702359,AI house design - Renomo,ios ai home design,29,False,31,18.79
6446040791,Remodel AI - Home Design,ios ai home design,4,False,31,66.09
6446040791,Remodel AI - Home Design,kitchen design,8,False,31,51.19
